Yes/No,Site,Site Code,City,Country/Region,State/Province,ZIP/Postal Code,3 Digit Zip
,11500 C STREETS SUPERVISORS,0072773001,ANCHORAGE,USA,AK,99515,995
,1233 PURCELL AK RR OOS,0072829004,ANCHORAGE,USA,AK,99501,995
,1233 PURCELL AK RR WHIT,0072829003,ANCHORAGE,USA,AK,99501,995
,9TH AVE SEC PM,0072877001,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY,0072870001,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY OOS,0072870003,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY OOS UOT,0072870004,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY UOT,0072870002,ANCHORAGE,USA,AK,99515,995
,ACS BUILDING MGMT,0072827009,KODIAK,USA,AK,99615,996
,ACS HFM 177 3015,0053863002,ANCHORAGE,USA,AK,99508,995
,ACS HFM CONTRACT YR 1,0072850001,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 02,0072850002,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 03,0072850003,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 04,0072850004,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 05,0072850005,ANCHORAGE,USA,AK,99515,995
,ACS JANITORIAL CONTRACT,0072827001,ANCHORAGE,USA,AK,99501,995
,ACS JNT CONTRACT FAIRBANK,0072827002,FAIRBANKS,USA,AK,99701,997
,ACS JNT CONTRACT HOMER,0072827007,HOMER,USA,AK,99603,996
,ACS JNT CONTRACT JUNEAU,0072827003,JUNEAU,USA,AK,99801,998
,ACS JNT CONTRACT KENAI/SO,0072827006,SOLDOTNA,USA,AK,99669,996
,ACS JNT CONTRACT KETCHIKA,0072827005,KETCHIKAN,USA,AK,99901,999
,ACS JNT CONTRACT KODIAK,0072827008,KODIAK,USA,AK,99615,996
,ACS JNT CONTRACT SITKA,0072827004,SITKA,USA,AK,99835,998
,AFE0192 LABOR,0072871008,ANCHORAGE,USA,AK,99515,995
,AFE0192 LABOR UOT,0072871009,ANCHORAGE,USA,AK,99515,995
,AK AIR IN-FLIGHT SVCS - JNU,0044771001,JUNEAU,USA,AK,99801,998
,AK MARITIME - WILDLIFE,0072873001,ANCHORAGE,USA,AK,99515,995
,AK MARITIME-WILDLIFE UOT,0072873002,ANCHORAGE,USA,AK,99515,995
,AKAIR HFM OPS FY15,0072851002,ANCHORAGE,USA,AK,99515,995
,AKAIR HFM OPS STARTUP,0072851001,ANCHORAGE,USA,AK,99515,995
,AKAIR OCT-14 SEPT-15 BRD,0072851003,ANCHORAGE,USA,AK,99515,995
,AKAIR OCT-14 SEPT-15 CRP,0072851004,ANCHORAGE,USA,AK,99515,995
,AKAIR OCT-14 SEPT-15 MAIN,0072851005,ANCHORAGE,USA,AK,99515,995
,AKAIROOS-FAC MAINT SUPER,0072851006,ANCHORAGE,USA,AK,99515,995
,AKLNG NIKISKI,0072879001,ANCHORAGE,USA,AK,99515,995
,ALASKA NATIVE MEDICAL CTR-EVS,0053873001,ANCHORAGE,USA,AK,99508,995
,ALDRICH SVS JANITORIAL,0072860001,ANCHORAGE,USA,AK,99515,995
,ALPINE FDS REGULAR TIME,0072842001,ANCHORAGE,USA,AK,99515,995
,ALPINE FDS REIMBURSABLES,0072842003,ANCHORAGE,USA,AK,99515,995
,ALPINE FDS UOT,0072842002,ANCHORAGE,USA,AK,99515,995
,ALPINE HSK REGULAR TIME,0072842004,ANCHORAGE,USA,AK,99515,995
,ALPINE HSK REIMBURSABLES,0072842006,ANCHORAGE,USA,AK,99515,995
,ALPINE HSK UOT,0072842005,ANCHORAGE,USA,AK,99515,995
,ALPINE LABOR 4521884593,0072828002,ANCHORAGE,USA,AK,99515,995
,ALPINE NON-BILLABLE,0072842007,ANCHORAGE,USA,AK,99515,995
,ALPS,0064444018,ANCHORAGE,USA,AK,99515,995
,ALPS,0072788001,ANCHORAGE,USA,AK,99507,995
,ALYESKA ANCHORAGE,0072838012,ANCHORAGE,USA,AK,99515,995
,ALYESKA DIRECT COST CODE,0072838017,ANCHORAGE,USA,AK,99515,995
,ALYESKA FAIRBANKS,0072838008,ANCHORAGE,USA,AK,99515,995
,ALYESKA GLENNALLEN,0072838011,ANCHORAGE,USA,AK,99515,995
,ALYESKA GLENNALLEN 217110,0053860139,ANCHORAGE,USA,AK,99508,995
,ALYESKA IMT BERTH 5,0072838018,ANCHORAGE,USA,AK,99515,995
,ALYESKA LINE MGRS,0072838015,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 1,0072838002,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 10,0072838010,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 10 217100,0053872002,ANCHORAGE,USA,AK,99508,995
,ALYESKA PUMP 3,0072838003,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 4,0072838004,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 5,0072838005,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 6,0072838006,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 7,0072838007,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 9,0072838009,ANCHORAGE,USA,AK,99515,995
,ALYESKA SPO 20302529,0072838019,ANCHORAGE,USA,AK,99515,995
,ALYESKA SUPPORT,0072838014,ANCHORAGE,USA,AK,99515,995
,ALYESKA TRANSITION&NONBIL,0072838001,ANCHORAGE,USA,AK,99515,995
,ALYESKA VALDEZ,0072838013,ANCHORAGE,USA,AK,99515,995
,ALYESKA VALDEZ CAFE,0072838016,ANCHORAGE,USA,AK,99515,995
,ANCHORAGE ADMIN OFFICE,0064444019,ANCHORAGE,USA,AK,99515,995
,ANTHC PATIENT HOUSING HSK 177.,0053865005,ANCHORAGE,USA,AK,99508,995
,API CATERING,0072818003,ANCHORAGE,USA,AK,99508,995
,API COFFEE KIOSK,0072818004,ANCHORAGE,USA,AK,99508,995
,API DAY CART,0072818002,ANCHORAGE,USA,AK,99508,995
,API PATIENT MEALS,0072818001,ANCHORAGE,USA,AK,99508,995
,APU WO FOR SECURITY,0072881001,ANCHORAGE,USA,AK,99515,995
,ARH BILLABLE,0072786001,ANCHORAGE,USA,AK,99508,995
,ARH NON-BILL,0072786002,ANCHORAGE,USA,AK,99508,995
,ASRC BILLABLE,0072790001,ANCHORAGE,USA,AK,99503,995
,ASRC NON-BILL,0072790002,ANCHORAGE,USA,AK,99503,995
,ATM JUNEAU MONITORING,0072878002,ANCHORAGE,USA,AK,99515,995
,ATM KETCH MONITORING,0072878001,ANCHORAGE,USA,AK,99515,995
,BADAMI GLACIER OIL GAS,0072837003,ANCHORAGE,USA,AK,99515,995
,BADAMI UNIT REDEV LABOR,0072837001,ANCHORAGE,USA,AK,99515,995
,BADAMI UNIT REDEV SUPPLY,0072837002,ANCHORAGE,USA,AK,99515,995
,BBAHC  - DILLINGHAM RTL,0072857002,ANCHORAGE,USA,AK,99515,995
,BBAHC - DILLINGHAM FDS,0072857001,ANCHORAGE,USA,AK,99515,995
,BBAHC SECURITY,0072893001,ANCHORAGE,USA,AK,99515,995
,BBNC OOS SEC,0072864002,ANCHORAGE,USA,AK,99515,995
,BEARHAZ WESTSTAINES UOT,0072862006,ANCHORAGE,USA,AK,99515,995
,BELUGA BILLABLE,0072762001,ANCHORAGE,USA,AK,99515,995
,BELUGA NON-BILL,0072762002,ANCHORAGE,USA,AK,99515,995
,BP ENERGY CENTER WO1,0072845001,ANCHORAGE,USA,AK,99515,995
,BP WOA BOC,0053865003,ANCHORAGE,USA,AK,99508,995
,BP WOA NCS OPS,0053865006,ANCHORAGE,USA,AK,99508,995
,BRISTOL BAY LODGES,0064444016,ANCHORAGE,USA,AK,99515,995
,BRISTOL BAY ROVING SEC,0072864001,ANCHORAGE,USA,AK,99515,995
,BUSINESS DEVELOP - SHEPPARD,0070305684,ANCHORAGE,USA,AK,99515,995
,BUSINESS DEVELOPMENT,0070305689,ANCHORAGE,USA,AK,99515,995
,CBRE BILLABLE,0072787001,ANCHORAGE,USA,AK,99508,995
,CBRE NON-BILL,0072787002,ANCHORAGE,USA,AK,99508,995
,CHEVRON SURPUW USA-AK-0001-2,0072001065,ANCHORAGE,USA,AK,99501,995
,CHQ - 334,0072784001,ANCHORAGE,USA,AK,99503,995
,CHQ - 350,0072784003,ANCHORAGE,USA,AK,99503,995
,CHQ - 351,0072784004,ANCHORAGE,USA,AK,99503,995
,CHQ - 352,0072784005,ANCHORAGE,USA,AK,99503,995
,CHQ NON-BILLABLE,0072784002,ANCHORAGE,USA,AK,99503,995
,CIRI BILLABLE,0072791001,ANCHORAGE,USA,AK,99501,995
,CIRI NON-BILL,0072791002,ANCHORAGE,USA,AK,99501,995
,CITC - ES/JNT - NMS,0053912001,ANCHORAGE,USA,AK,99508,995
,CITC MONITORING,0072888002,ANCHORAGE,USA,AK,99515,995
,CITC PHYSICAL SECURITY,0072888001,ANCHORAGE,USA,AK,99515,995
,COP WILLOW,0064444023,ANCHORAGE,USA,AK,99515,995
,COVENANT HOUSE,0072853001,ANCHORAGE,USA,AK,99501,995
,CPAI KUPARUK FACILITIES,0064444010,ANCHORAGE,USA,AK,99515,995
,CPAI RIG DC1,0064444024,ANCHORAGE,USA,AK,99515,995
,CPAI TOWER MAINTENANCE,0064444017,ANCHORAGE,USA,AK,99515,995
,CREDIT UNION 1 DOWNTOWN,0072884001,ANCHORAGE,USA,AK,99515,995
,CREDIT UNION 1 MIDTOWN,0072884002,ANCHORAGE,USA,AK,99515,995
,CREDIT UNION 1 OLD SEWARD,0072884003,ANCHORAGE,USA,AK,99515,995
,CS IEP BIWEEK SEVERANCE ALASKA,0070302805,ANCHORAGE,USA,AK,99518,995
,CS IEP-LUMP SUM/BW ALASKA,0070302570,ANCHORAGE,USA,AK,99518,995
,CS NMS TEMP RIG NORDIC 2,0053911004,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG AFOGNAK BRN BEAR,0053911001,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG AFOGNAK BRN BEAR,0053911010,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG AFOGNAK SEA LION,0053911002,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON 5 - 25,0053911008,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON DC 1 - 19,0053911006,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON DC 2 - 141,0053911007,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON DC 4 - 16,0053911009,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG NABORS AK W/ ANNEX,0053911005,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG NORDIC 6,0053911003,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG PEAK CANNING RIVER,0053911011,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 26,0053911014,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 33,0053911012,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 34,0053911013,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 41,0053911015,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE MAINTENANCE,0064444013,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE MTNC BILLABLE,0072770001,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE MTNC NON-BILL,0072770002,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE SECURITY BILLABLE,0072789001,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE SECURITY NON-BILL,0072789002,ANCHORAGE,USA,AK,99515,995
,DIMOND CTR COVID AMEND 3,0072852002,ANCHORAGE,USA,AK,99515,995
,DIMOND CTR JANITORIAL,0072852001,ANCHORAGE,USA,AK,99515,995
,DL PLAZA BUILDING BILLABLE,0072777001,FAIRBANKS,USA,AK,99701,997
,DL PLAZA BUILDING NON-BILL,0072777002,FAIRBANKS,USA,AK,99701,997
,DOYON RIG 14 BILLABLE,0072760001,ANCHORAGE,USA,AK,99515,995
,DOYON RIG 14 NON-BILL,0072760002,ANCHORAGE,USA,AK,99515,995
